Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2023/12/TA83/DTA_2102164_20231211.xml,Tribunal administratif,2102164,40%,Plein Contentieux,Personne morale,Rejet,83,Tribunal Administratif de Toulon,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA83/DTA_2102164_20231211.xml
../data/raw/DTA/2023/12/TA77/DTA_2010527_20231221.xml,Tribunal administratif,2010527,100%,Plein Contentieux,Personne physique,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2010527_20231221.xml
../data/raw/DTA/2023/12/TA77/DTA_2003992_20231228.xml,Tribunal administratif,2003992,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2003992_20231228.xml
../data/raw/DTA/2023/12/TA77/DTA_1904465_20231214.xml,Tribunal administratif,1904465,100%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_1904465_20231214.xml
../data/raw/DTA/2023/12/TA77/DTA_2010569_20231228.xml,Tribunal administratif,2010569,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2010569_20231228.xml
../data/raw/DTA/2023/12/TA77/DTA_2007414_20231228.xml,Tribunal administratif,2007414,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2007414_20231228.xml
../data/raw/DTA/2023/12/TA77/DTA_2203442_20231228.xml,Tribunal administratif,2203442,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2203442_20231228.xml
../data/raw/DTA/2023/12/TA77/DTA_2008785_20231207.xml,Tribunal administratif,2008785,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2008785_20231207.xml
../data/raw/DTA/2023/12/TA77/DTA_2009035_20231221.xml,Tribunal administratif,2009035,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2009035_20231221.xml
../data/raw/DTA/2023/12/TA77/DTA_2006699_20231207.xml,Tribunal administratif,2006699,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2006699_20231207.xml
../data/raw/DTA/2023/12/TA77/DTA_2008891_20231221.xml,Tribunal administratif,2008891,40%,Plein Contentieux,Personne morale,Rejet,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2008891_20231221.xml
../data/raw/DTA/2023/12/TA77/DTA_2008657_20231207.xml,Tribunal administratif,2008657,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,77,Tribunal Administratif de MELUN,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA77/DTA_2008657_20231207.xml
